title,synopsis,year,duration,director,categories
"Matrix","Um hacker descobre que a realidade é uma simulação de computador",1999,136,"Wachowski Sisters","Ficção Científica,Ação"
"Inception","Ladrão invade sonhos para plantar ideias",2010,148,"Christopher Nolan","Ficção Científica,Thriller"
"Interestelar","Astronautas buscam novo lar para humanidade",2014,169,"Christopher Nolan","Ficção Científica,Drama"
"Blade Runner 2049","Replicante descobre segredo que pode mudar o mundo",2017,164,"Denis Villeneuve","Ficção Científica,Thriller"
"Duna","Jovem nobre enfrenta destino em planeta desértico",2021,155,"Denis Villeneuve","Ficção Científica,Aventura"
"Mad Max Estrada da Fúria","Perseguição pós-apocalíptica no deserto",2015,120,"George Miller","Ação,Aventura"
"Coringa","Comediante fracassado se transforma em vilão icônico",2019,122,"Todd Phillips","Drama,Thriller"
"Parasita","Família pobre se infiltra em casa de ricos",2019,132,"Bong Joon-ho","Drama,Thriller"
"1917","Dois soldados atravessam território inimigo na Primeira Guerra",2019,119,"Sam Mendes","Guerra,Drama"
"O Poderoso Chefão","Saga da família mafiosa Corleone",1972,175,"Francis Ford Coppola","Crime,Drama"
